0	1
1	2
2	3
2	6
3	4
4	5
4	6
6	7
7	8
7	21
8	9
8	21
9	10
10	11
10	13
10	15
11	12
11	14
14	15
15	16
15	17
17	18
17	20
18	19
18	20
20	22
20	23
20	39
21	22
22	23
22	24
23	24
24	25
24	26
25	26
26	27
27	28
27	29
29	30
30	31
30	33
31	32
33	34
34	35
34	36
35	36
35	37
35	38
36	46
36	58
37	38
37	59
38	61
39	40
40	41
40	42
41	42
41	43
42	43
43	44
43	45
44	49
45	46
46	47
47	48
48	49
48	54
49	50
50	51
50	52
51	52
52	53
52	54
52	65
52	68
54	55
54	75
55	56
55	57
56	57
56	58
57	60
58	59
59	60
60	62
60	63
60	80
61	62
61	64
62	81
63	76
63	79
64	82
64	84
65	66
65	67
67	68
68	69
69	70
69	71
69	75
70	72
71	74
71	78
72	73
72	74
72	75
74	77
75	76
76	77
77	99
78	79
78	93
78	94
79	80
79	90
80	81
80	89
81	82
82	83
82	87
83	84
83	86
84	85
86	87
86	88
86	114
87	88
87	89
88	119
89	90
90	91
91	92
91	108
91	117
92	93
92	99
94	95
95	96
96	97
96	98
97	98
97	99
99	100
100	101
101	102
101	105
102	103
103	104
104	105
105	106
106	107
106	108
107	108
108	109
109	110
110	111
111	112
112	113
113	114
113	115
115	116
115	117
117	118
117	119
