0	1
0	2
1	2
2	3
2	4
2	5
3	6
4	5
4	8
4	13
4	14
4	15
4	16
5	8
5	12
5	13
6	7
7	8
8	12
8	13
8	14
9	10
10	11
10	12
11	12
12	13
12	16
12	17
13	14
13	17
13	18
13	25
13	26
16	18
16	19
16	20
16	21
16	22
16	23
17	24
18	23
18	26
18	32
18	33
19	40
20	22
20	33
21	22
22	23
22	53
22	54
23	53
23	56
23	57
25	26
25	28
25	30
25	31
26	27
26	28
26	29
28	31
28	32
28	48
29	42
29	51
29	52
30	46
31	47
31	48
31	49
33	34
34	35
34	36
34	37
34	38
35	36
35	37
35	38
35	39
36	37
36	38
36	56
36	62
37	38
37	68
38	55
38	56
38	65
38	66
40	72
40	74
41	42
41	43
41	44
41	45
42	43
42	44
42	45
42	52
43	44
43	45
43	57
43	59
43	61
44	45
48	49
48	50
52	72
54	55
54	56
55	56
56	57
56	58
56	59
56	60
57	61
58	60
58	70
58	76
58	79
59	69
59	70
60	88
60	90
62	63
62	64
62	65
63	64
63	96
64	66
65	95
66	67
69	71
70	88
70	89
70	90
72	73
72	74
72	75
72	76
72	77
74	78
75	79
75	80
75	81
75	82
76	79
76	87
78	79
78	80
78	81
78	82
78	83
78	84
79	80
79	81
79	82
79	83
80	81
80	82
81	82
81	83
82	83
82	85
82	86
85	86
88	91
89	90
89	92
92	93
93	94
94	95
95	96
96	97
