ID,Technology,Max Output [MW], Marginal Cost [ua/MW],Inertia [MWs^2],Primary Control [MWs]
1990,RR,225.4,10,0.043044,0.01634
1994,LI,586.5,24,0.22403,0.042521
1998,LI,295.8,24,0.11299,0.021446
2001,RR,404,10,0.077158,0.02929
2003,FO,120,100,0.045837,0.01
2004,RR,747,10,0.14267,0.054158
2006,CG,190,110,0.072575,0.013775
2015,LI,88,24,0.033614,0.01
2016,CG,395,110,0.15088,0.028638
2020,PS,2210,100,0.42208,0.16023
2021,NU,1820,16,0.69519,0.13195
2027,HY,138,60,0.03,0.010005
2029,FO,423,100,0.16157,0.030668
2032,FO,415,100,0.15852,0.030088
2034,CG,475,110,0.18144,0.034438
2037,CG,550,110,0.21008,0.039875
2039,FO,393.8,100,0.1504,0.028547
2040,FO,242.4,100,0.092586,0.017573
2056,HC,160,35,0.061115,0.0116
2063,NU,2721,16,1.0393,0.19727
2101,CG,350,110,0.13369,0.025375
2106,LI,875,24,0.33423,0.063438
2109,CG,491,110,0.18755,0.035598
2126,FM,516,100,0.1971,0.03741
2130,LI,800,24,0.30558,0.058
2132,NU,2026,16,0.77387,0.14689
2134,CG,433,110,0.16539,0.031393
2135,NU,1892,16,0.72269,0.13717
2137,CG,218,110,0.08327,0.015805
2140,CG,66,110,0.03,0.01
2143,CG,823,110,0.31436,0.059668
2145,LI,518,24,0.19786,0.037555
2149,NU,1000,16,0.38197,0.0725
2152,CG,430,110,0.16425,0.031175
2157,RR,236.5,10,0.045168,0.017146
2159,CG,110,110,0.042017,0.01
2165,DA,237,80,0.060352,0.017183
2167,DA,609.2,80,0.15513,0.044167
2168,CG,1705,110,0.65126,0.12361
2174,FO,272,100,0.1039,0.01972
2178,CG,1649,110,0.62987,0.11955
2201,CG,2979,110,1.1379,0.21598
2205,CG,1200,110,0.45837,0.087
2224,HC,516,35,0.1971,0.03741
2229,RR,881,10,0.16826,0.063873
2240,CG,525,110,0.20054,0.038063
2258,LI,860,24,0.3285,0.06235
2261,HC,600,35,0.22918,0.0435
2272,LI,1900,24,0.72575,0.13775
2282,NU,960,16,0.36669,0.0696
2292,HC,800,35,0.30558,0.058
2298,LI,450,24,0.17189,0.032625
2299,RR,345,10,0.06589,0.025013
2304,RR,180,10,0.034377,0.01305
2314,FO,1436,100,0.54851,0.10411
2315,LI,2910,24,1.1115,0.21098
2364,HC,655,35,0.25019,0.047488
2376,RR,1230,10,0.23491,0.089175
2377,OT,120,10,0.03,0.01
2378,RR,254,10,0.04851,0.018415
2380,RR,881,10,0.16826,0.063873
2393,LI,2073,24,0.79183,0.15029
2395,CG,664,110,0.25363,0.04814
2397,LI,838,24,0.32009,0.060755
2409,LI,750,24,0.28648,0.054375
2413,CG,988,110,0.37739,0.07163
2414,HC,638,35,0.2437,0.046255
2427,CG,202,110,0.077158,0.014645
2443,PS,540,100,0.10313,0.03915
2457,LI,630,24,0.24064,0.045675
2459,RR,295,10,0.056341,0.021388
2460,RR,160,10,0.030558,0.0116
2463,LI,3074,24,1.1742,0.22287
2464,RR,979,10,0.18698,0.070978
2466,LI,630,24,0.24064,0.045675
2470,RR,171,10,0.032659,0.012398
2472,RR,440,10,0.084034,0.0319
2476,FO,1979,100,0.75592,0.14348
2497,HC,365.2,35,0.1395,0.026477
2527,OT,513,10,0.097976,0.037193
2537,NU,2090,16,0.79832,0.15153
2541,RR,820,10,0.15661,0.05945
2542,RR,186,10,0.035523,0.013485
2548,RR,190,10,0.036287,0.013775
2559,LI,2147,24,0.82009,0.15566
2561,CG,290,110,0.11077,0.021025
2566,HC,1640,35,0.62643,0.1189
2571,HC,391.7,35,0.14962,0.028398
2573,LI,272,24,0.1039,0.01972
2581,HC,1653,35,0.6314,0.11984
2585,HC,1532,35,0.58518,0.11107
2587,HC,238,35,0.090909,0.017255
2597,FO,300,100,0.11459,0.02175
2598,PS,650,100,0.12414,0.047125
2605,FO,153.4,100,0.058594,0.011122
2607,FO,170,100,0.064935,0.012325
2608,HC,1612,35,0.61574,0.11687
2609,HC,1940,35,0.74103,0.14065
2610,HC,1355,35,0.51757,0.098238
2614,HC,440,35,0.16807,0.0319
2620,LI,1184,24,0.45225,0.08584
2621,CG,230,110,0.087854,0.016675
2623,LI,115,24,0.043927,0.01
2626,HC,220,35,0.084034,0.01595
2632,RR,315,10,0.060161,0.022838
2634,PS,360,100,0.068755,0.0261
2637,RR,307,10,0.058633,0.022258
2639,RR,216,10,0.041253,0.01566
2641,FM,941,100,0.35944,0.068223
2643,FO,684,100,0.26127,0.04959
2660,NU,1092,16,0.41711,0.07917
2677,NU,1066,16,0.40718,0.077285
2688,RR,432,10,0.082506,0.03132
2689,RR,595,10,0.11364,0.043138
2690,HC,513,35,0.19595,0.037193
2693,HC,1199.6,35,0.45821,0.086971
2698,RR,325,10,0.06207,0.023563
2712,RR,401,10,0.076585,0.029073
2714,HY,153,60,0.03,0.011093
