ID, Name,Voltage [KV],Demand [MW],Load Freq Coeff [WMs],Country,Population Prop,Longitude,Latitude
2213,Unlabeled_367 220,220,15.6,0.0007428,ES,0.00042275,-3.3398,43.0448
2214,Alonsotegui 220,220,23,0.0011003,ES,0.00062619,-3.0981,43.1571
2215,Zamudio 220,220,25.5,0.0012174,ES,0.00069288,-2.9334,43.2132
2216,Unlabeled_368 220,220,8.6,0.0005,ES,0.00023303,-3.8342,43.125
2217,Castejon 380,380,20.8,0.00099437,ES,0.00056593,-1.637,42.1634
2218,Tudela 220,220,5.5,0.0005,ES,0.00014817,-1.571,41.9023
2219,Unlabeled_369 220,220,6.3,0.0005,ES,0.00017081,-1.6277,42.0329
2220,Unlabeled_370 220,220,26.4,0.0012623,ES,0.00071838,-1.593,42.3829
2221,Alcarama 220,220,6.3,0.0005,ES,0.0001716,-1.4722,42.1227
2222,Quel 220,220,7.1,0.0005,ES,0.00019216,-1.9336,42.1797
2223,Unlabeled_371 380,380,64.1,0.0030601,ES,0.0017416,-5.8228,42.6171
2224,Velilla 380,380,7.9,0.0005,ES,0.00021533,-4.8889,42.884
2225,Unlabeled_372 380,380,12.3,0.00058849,ES,0.00033493,-6.6577,42.5935
2226,Herrera 220,220,2.4,0.0005,ES,6.5972e-05,-4.4275,42.5774
2227,Tordesillas 380,380,30,0.001433,ES,0.00081556,-5.3064,41.4921
2228,Aldeadavila II 380,380,3.2,0.0005,ES,8.7928e-05,-6.6357,41.1869
2229,Villarino 220,220,1.7,0.0005,ES,4.6066e-05,-6.394,41.2282
2230,San Sebastian de los Reyes 380,380,25.7,0.0012247,ES,0.00069702,-3.6255,41.0462
2231,F.Alavesas 220,220,24.6,0.0011758,ES,0.00066919,-2.6147,42.7954
2232,V.Gasteiz 220,220,22.9,0.0010938,ES,0.00062251,-2.45,42.6824
2233,Unlabeled_373 220,220,14.7,0.00070229,ES,0.00039969,-3.4054,42.4879
2234,Logrono 220,220,16,0.00076288,ES,0.00043418,-2.3291,42.3829
2235,Unlabeled_374 220,220,25.8,0.0012316,ES,0.00070096,-1.593,42.5045
2236,Muruarte 220,220,24.6,0.0011759,ES,0.00066925,-1.7468,42.6744
2237,Alcala de Gurrea 220,220,7.3,0.0005,ES,0.00019924,-0.74707,42.1064
2238,Almudevar 220,220,36.4,0.0017379,ES,0.00098908,-0.70312,42.0656
2239,Unlabeled_375 220,220,38.6,0.001842,ES,0.0010483,-0.76904,42.0085
2240,Robbenplaat 220,220,44.2,0.0021112,NL,0.0027227,6.9324,53.3243
2241,Unterweser 380,380,152.1,0.0072629,DE,0.0022109,8.3936,53.344
2242,Maade 380,380,94.2,0.0044991,DE,0.0013696,7.998,53.5534
2243,Conneforde 220,220,37.9,0.001812,DE,0.0005516,8.1189,53.2981
2244,Zeyerveen 220,220,81.4,0.0038853,NL,0.0050107,6.5039,52.9288
2245,Louwsmeer 220,220,156,0.0074485,NL,0.0096059,5.9326,53.0874
2246,Wehrendorf 380,380,98.8,0.0047157,DE,0.0014355,8.2837,52.3421
2247,Westerkappeln 380,380,110.5,0.0052756,DE,0.001606,7.9321,52.2816
2248,Lustringen 380,380,117,0.0055879,DE,0.0017011,8.1409,52.2547
