ID1,ID2,Resistance [Ohm],Reactance [Ohm], Thermal limit [MW]
123,186,0.000114,0.001078,1700
123,186,0.000114,0.001078,1700
124,187,0.000212,0.002004,1700
124,187,0.000212,0.002004,1700
125,188,0.002584,0.014768,490
126,189,7.3e-05,0.000689,1700
126,189,7.3e-05,0.000689,1700
127,190,0.001458,0.008333,490
128,161,0.000261,0.002466,1700
128,161,0.000261,0.002466,1700
130,191,0.001935,0.011059,490
130,191,0.001935,0.011059,490
131,183,0.006401,0.036576,490
132,192,0.001295,0.007399,490
134,192,0.001295,0.007401,490
134,193,0.001384,0.007907,490
135,194,0.00051,0.004822,1700
136,148,0.001385,0.038088,1000
136,195,0.000549,0.005194,1700
136,195,0.000549,0.005194,1700
137,196,0.000456,0.00432,1700
137,196,0.000456,0.00432,1700
137,197,0.001385,0.038088,1000
138,146,0.001185,0.006773,490
138,198,0.001526,0.008722,490
139,199,0.000309,0.00292,1700
139,199,0.000309,0.00292,1700
139,199,0.000309,0.00292,1700
139,200,0.001021,0.009665,1700
139,200,0.001021,0.009665,1700
139,200,0.001021,0.009665,1700
140,201,0.000222,0.0021,1700
140,201,0.000222,0.0021,1700
140,202,0.000941,0.008908,1700
140,202,0.000941,0.008908,1700
140,202,0.000941,0.008908,1700
141,203,0.000477,0.004515,1700
141,203,0.000477,0.004515,1700
141,203,0.000477,0.004515,1700
141,204,0.000323,0.003059,1700
141,204,0.000323,0.003059,1700
141,205,0.0002,0.001896,1700
142,206,0.001571,0.008976,490
142,206,0.001571,0.008976,490
143,207,0.001507,0.008612,490
143,207,0.001507,0.008612,490
143,208,0.00122,0.006969,490
143,208,0.00122,0.006969,490
144,145,0.002751,0.01572,490
144,145,0.002751,0.01572,490
146,209,0.00128,0.007315,490
146,209,0.00128,0.007315,490
148,210,0.003039,0.017363,490
148,210,0.003039,0.017363,490
149,211,0.000102,0.000968,1700
150,211,0.001133,0.010725,1700
150,211,0.001133,0.010725,1700
150,212,0.001175,0.011124,1700
150,212,0.001175,0.011124,1700
150,213,0.001385,0.038088,1000
151,214,3e-05,0.000285,1700
151,214,3e-05,0.000285,1700
151,215,0.000144,0.001358,1700
151,215,0.000144,0.001358,1700
152,216,0.000524,0.004958,1700
152,216,0.000524,0.004958,1700
153,217,0.003676,0.021004,490
153,217,0.003676,0.021004,490
153,217,0.003676,0.021004,490
153,217,0.003676,0.021004,490
153,218,0.001998,0.011416,490
153,218,0.001998,0.011416,490
155,219,0.001385,0.038088,1000
157,220,0.000241,0.002283,1700
157,220,0.000241,0.002283,1700
158,221,0.000794,0.007515,1700
159,222,0.001385,0.038088,1000
160,223,0.000401,0.003791,1700
160,223,0.000401,0.003791,1700
161,224,0.000593,0.005614,1700
161,224,0.000593,0.005614,1700
162,225,0.001741,0.009948,490
162,225,0.001741,0.009948,490
163,219,0.00652,0.037255,490
163,219,0.00652,0.037255,490
166,226,0.001424,0.008137,490
166,226,0.001424,0.008137,490
168,227,0.00039,0.00369,1700
168,227,0.00039,0.00369,1700
169,227,0.001385,0.038088,1000
169,228,0.002317,0.013238,490
169,228,0.002317,0.013238,490
169,229,0.001496,0.008547,490
169,229,0.001496,0.008547,490
169,230,0.004631,0.026461,490
169,230,0.004631,0.026461,490
171,231,0.002559,0.014625,490
171,231,0.002559,0.014625,490
172,232,0.002106,0.012033,490
172,232,0.002106,0.012033,490
172,233,0.002847,0.016269,490
172,233,0.002847,0.016269,490
176,234,0.000459,0.004344,1700
177,235,0.001032,0.009766,1700
177,235,0.001032,0.009766,1700
177,236,0.002953,0.027949,1700
177,236,0.002953,0.027949,1700
177,237,0.002386,0.022579,1700
177,238,0.001824,0.017265,1700
177,239,0.001623,0.015359,1700
177,240,0.001385,0.038088,1000
178,241,0.001118,0.010585,1700
178,241,0.001118,0.010585,1700
178,242,0.000303,0.002863,1700
178,242,0.000303,0.002863,1700
179,243,0.000199,0.001882,1700
179,243,0.000199,0.001882,1700
179,244,0.000951,0.009002,1700
179,244,0.000951,0.009002,1700
179,245,0.00016,0.001513,1700
180,246,0.001385,0.038088,1000
181,182,0.01061,0.060627,490
181,247,0.002778,0.015874,490
181,247,0.002778,0.015874,490
181,248,0.008613,0.049215,490
181,249,0.008577,0.049009,490
181,250,0.0032,0.018283,490
181,250,0.0032,0.018283,490
181,251,0.002562,0.014637,490
181,252,0.004965,0.028373,490
181,253,0.002779,0.01588,490
183,254,0.000746,0.004262,490
184,255,0.009182,0.052466,490
187,256,0.000381,0.00361,1700
187,256,0.000381,0.00361,1700
187,257,0.000212,0.00201,1700
187,257,0.000212,0.00201,1700
189,258,0.000155,0.001464,1700
189,258,0.000155,0.001464,1700
190,233,0.001402,0.008011,490
190,259,0.001234,0.007054,490
190,260,0.001313,0.007501,490
191,261,0.001154,0.006592,490
191,261,0.001154,0.006592,490
194,196,0.001028,0.009725,1700
194,196,0.001028,0.009725,1700
194,262,0.000991,0.009377,1700
194,262,0.000991,0.009377,1700
194,262,0.000894,0.008465,1700
194,262,0.000894,0.008465,1700
194,263,0.001672,0.015821,1700
194,264,0.001385,0.038088,1000
195,265,0.000624,0.005902,1700
195,266,0.001385,0.038088,1000
196,236,0.003174,0.03004,1700
196,236,0.003174,0.03004,1700
196,267,0.000242,0.002293,1700
197,268,0.003996,0.022833,490
197,269,0.001568,0.008961,490
197,270,0.005141,0.029375,490
197,271,0.001848,0.010559,490
197,271,0.001848,0.010559,490
198,272,0.001706,0.009748,490
199,273,0.000219,0.002068,1700
199,273,0.000219,0.002068,1700
199,273,0.000219,0.002068,1700
200,274,0.000152,0.001439,1700
200,274,0.000152,0.001439,1700
200,274,0.000152,0.001439,1700
200,275,0.00058,0.005493,1700
200,275,0.00058,0.005493,1700
202,218,0.001385,0.038088,1000
202,276,0.000811,0.00768,1700
202,276,0.000811,0.00768,1700
203,277,0.000131,0.001237,1700
203,278,0.001207,0.011422,1700
204,273,0.00055,0.005204,1700
204,273,0.00055,0.005204,1700
206,279,0.006994,0.039965,490
206,280,0.001198,0.006843,490
206,280,0.001198,0.006843,490
206,281,0.000826,0.004722,490
206,281,0.000826,0.004722,490
210,266,0.001954,0.011163,490
210,282,0.001709,0.009764,490
210,283,0.002233,0.012759,490
210,284,0.004562,0.026066,490
210,284,0.004562,0.026066,490
210,285,0.001294,0.007393,490
211,216,0.001326,0.012549,1700
211,216,0.001326,0.012549,1700
212,286,0.000246,0.002329,1700
212,286,0.000246,0.002329,1700
212,287,0.00115,0.010887,1700
212,287,0.00115,0.010887,1700
212,287,0.00115,0.010887,1700
213,288,0.003291,0.018802,490
213,288,0.003291,0.018802,490
213,289,0.000911,0.005203,490
213,289,0.000911,0.005203,490
214,290,0.000412,0.003899,1700
214,290,0.000412,0.003899,1700
215,291,0.000143,0.001352,1700
215,291,0.000143,0.001352,1700
216,292,0.000325,0.003079,1700
216,293,0.000329,0.003115,1700
216,293,0.000329,0.003115,1700
216,294,0.000713,0.006749,1700
216,294,0.000713,0.006749,1700
217,295,0.001385,0.038088,1000
221,296,0.000549,0.005195,1700
222,297,0.001199,0.00685,490
222,297,0.001199,0.00685,490
223,298,0.000583,0.005518,1700
223,298,0.000583,0.005518,1700
223,299,0.000472,0.00447,1700
223,299,0.000472,0.00447,1700
224,300,0.001385,0.038088,1000
225,301,0.001086,0.006204,490
226,232,0.001077,0.006156,490
226,232,0.001077,0.006156,490
226,302,0.001913,0.01093,490
227,303,0.00034,0.003214,1700
227,303,0.00034,0.003214,1700
229,304,0.000837,0.004784,490
229,304,0.000837,0.004784,490
229,305,0.001493,0.00853,490
229,305,0.001493,0.00853,490
230,306,0.002043,0.011672,490
230,307,0.001234,0.007049,490
231,308,0.003869,0.02211,490
231,308,0.003869,0.02211,490
233,309,0.000653,0.003731,490
234,248,0.001385,0.038088,1000
234,310,0.000192,0.001813,1700
234,311,0.00294,0.027822,1700
234,311,0.00294,0.027822,1700
234,312,0.000474,0.004485,1700
235,313,0.000403,0.003816,1700
235,313,0.000403,0.003816,1700
236,237,0.000519,0.004909,1700
236,314,0.001599,0.015136,1700
236,315,0.00164,0.015524,1700
236,316,0.001589,0.015039,1700
236,316,0.001589,0.015039,1700
236,317,0.00044,0.004159,1700
236,317,0.00044,0.004159,1700
237,318,0.001385,0.038088,1000
238,319,0.000282,0.002673,1700
238,320,0.001385,0.038088,1000
239,321,0.001712,0.016198,1700
239,322,0.001385,0.038088,1000
240,320,0.012577,0.071865,490
240,323,0.008061,0.04606,490
240,324,0.011095,0.063402,490
240,325,0.003428,0.019588,490
240,326,0.003999,0.022854,490
241,327,0.002851,0.026979,1700
241,328,0.000724,0.006848,1700
241,328,0.000724,0.006848,1700
241,329,0.001456,0.013781,1700
241,329,0.001456,0.013781,1700
241,330,0.000267,0.002527,1700
241,330,0.000267,0.002527,1700
241,331,0.001385,0.038088,1000
242,329,0.000415,0.003925,1700
242,329,0.000415,0.003925,1700
242,329,0.000385,0.003645,1700
242,329,0.000385,0.003645,1700
242,332,0.001058,0.010008,1700
242,332,0.001058,0.010008,1700
243,247,0.001385,0.038088,1000
244,333,0.000319,0.003021,1700
244,333,0.000319,0.003021,1700
246,250,0.00227,0.012969,490
246,250,0.00227,0.012969,490
246,304,0.007198,0.04113,490
246,304,0.007198,0.04113,490
246,334,0.002354,0.013451,490
246,335,0.00267,0.015259,490
246,335,0.00267,0.015259,490
248,336,0.002875,0.016431,490
248,337,0.0001,0.000572,490
248,338,0.006135,0.035054,490
248,339,0.002348,0.013418,490
249,321,0.001385,0.038088,1000
249,340,0.002015,0.011512,490
249,341,0.002999,0.017136,490
249,342,0.001365,0.007802,490
249,342,0.001365,0.007802,490
249,343,0.002344,0.013391,490
249,344,0.001412,0.008069,490
251,341,0.004222,0.024128,490
252,345,0.004261,0.024349,490
252,346,0.003052,0.01744,490
253,347,0.001941,0.011094,490
255,348,0.005094,0.029106,490
256,349,0.001385,0.038088,1000
258,350,0.000254,0.002407,1700
258,351,0.001385,0.038088,1000
259,309,0.00111,0.006343,490
260,352,0.001029,0.005879,490
261,353,0.000714,0.004079,490
261,353,0.000714,0.004079,490
262,354,0.000452,0.004281,1700
262,354,0.000452,0.004281,1700
262,355,0.000593,0.005615,1700
262,355,0.000593,0.005615,1700
262,355,0.000478,0.004521,1700
262,355,0.000478,0.004521,1700
262,356,0.000944,0.00893,1700
262,356,0.000944,0.00893,1700
262,357,0.000681,0.006447,1700
262,357,0.000681,0.006447,1700
262,358,0.001385,0.038088,1000
263,359,0.001385,0.038088,1000
264,270,0.006784,0.038766,490
264,360,0.001775,0.010143,490
264,360,0.001775,0.010143,490
264,361,0.002196,0.012549,490
264,361,0.002196,0.012549,490
264,362,0.002242,0.012808,490
265,363,0.000191,0.001807,1700
266,364,0.002069,0.011825,490
266,364,0.002069,0.011825,490
266,365,0.004607,0.026325,490
266,365,0.004607,0.026325,490
269,366,0.007312,0.041782,490
269,367,0.000846,0.004834,490
270,368,0.003335,0.019057,490
270,368,0.003335,0.019057,490
271,272,0.005074,0.028994,490
271,369,0.001,0.005711,490
271,369,0.001,0.005711,490
273,370,0.0003,0.00284,1700
273,370,0.0003,0.00284,1700
273,370,0.0003,0.00284,1700
273,371,0.001198,0.011337,1700
273,371,0.001198,0.011337,1700
273,372,0.001385,0.038088,1000
274,373,0.001385,0.038088,1000
275,374,0.000138,0.001302,1700
275,374,0.000138,0.001302,1700
275,374,0.000138,0.001302,1700
276,277,0.000297,0.002807,1700
276,277,0.000297,0.002807,1700
276,375,0.000146,0.001379,1700
276,375,0.000146,0.001379,1700
276,375,0.000146,0.001379,1700
276,376,0.000325,0.003079,1700
276,377,0.000736,0.006963,1700
276,377,0.000736,0.006963,1700
278,378,0.000945,0.008943,1700
281,372,0.003821,0.021834,490
281,372,0.003821,0.021834,490
281,379,0.001863,0.010645,490
281,379,0.001863,0.010645,490
281,380,0.001385,0.038088,1000
282,381,0.001936,0.011063,490
283,382,0.001253,0.007162,490
284,364,0.001987,0.011357,490
284,383,0.001586,0.009064,490
284,383,0.001586,0.009064,490
284,384,0.002224,0.012709,490
286,385,0.001542,0.014597,1700
286,385,0.001542,0.014597,1700
286,386,0.000249,0.002356,1700
286,386,0.000249,0.002356,1700
286,386,0.000249,0.002356,1700
286,387,0.001385,0.038088,1000
287,299,0.000586,0.005541,1700
287,299,0.000586,0.005541,1700
291,295,0.00065,0.006148,1700
291,295,0.00065,0.006148,1700
292,293,0.000173,0.001636,1700
292,388,0.000713,0.006752,1700
292,388,0.000713,0.006752,1700
293,385,0.001289,0.012203,1700
293,385,0.001289,0.012203,1700
293,385,0.001289,0.012203,1700
293,389,0.001385,0.038088,1000
294,390,0.000285,0.002695,1700
294,390,0.000285,0.002695,1700
295,375,0.000401,0.003795,1700
295,375,0.000401,0.003795,1700
295,375,0.000401,0.003795,1700
295,391,0.000157,0.001486,1700
295,391,0.000157,0.001486,1700
296,392,0.000489,0.004623,1700
296,393,0.000199,0.001885,1700
296,394,0.000257,0.002436,1700
296,395,0.000265,0.002506,1700
296,395,0.000265,0.002506,1700
297,396,0.00156,0.008914,490
298,397,0.000688,0.006508,1700
298,397,0.000688,0.006508,1700
300,353,0.000715,0.004083,490
300,353,0.000715,0.004083,490
302,398,0.000882,0.005038,490
302,399,0.000993,0.005676,490
303,308,0.001385,0.038088,1000
303,400,0.000417,0.003948,1700
303,400,0.000417,0.003948,1700
304,308,0.000788,0.004503,490
304,308,0.000788,0.004503,490
305,401,0.001738,0.009928,490
305,401,0.001738,0.009928,490
306,402,0.002827,0.016156,490
306,402,0.002827,0.016156,490
307,403,0.001186,0.006776,490
308,404,0.006536,0.03735,490
308,404,0.006536,0.03735,490
311,405,0.000854,0.008081,1700
311,406,0.000417,0.00395,1700
311,407,0.00121,0.011453,1700
311,408,0.00045,0.004256,1700
311,409,0.001385,0.038088,1000
312,410,0.000637,0.006026,1700
313,411,6.6e-05,0.000624,1700
313,411,6.6e-05,0.000624,1700
314,412,0.000232,0.0022,1700
315,413,0.000627,0.005935,1700
315,414,0.001385,0.038088,1000
316,319,0.001271,0.012028,1700
316,415,0.000999,0.009459,1700
316,415,0.000999,0.009459,1700
316,416,0.00307,0.029053,1700
316,417,0.001483,0.014032,1700
316,417,0.001483,0.014032,1700
316,418,0.0011,0.010406,1700
316,418,0.0011,0.010406,1700
316,419,0.001385,0.038088,1000
317,415,0.001389,0.013141,1700
317,415,0.001389,0.013141,1700
318,348,0.008602,0.049155,490
318,420,0.002638,0.015076,490
318,421,0.006343,0.036243,490
318,422,0.009015,0.051514,490
318,423,0.007616,0.043521,490
319,424,0.00035,0.003317,1700
319,424,0.00035,0.003317,1700
320,425,0.001532,0.008752,490
320,425,0.001532,0.008752,490
320,426,0.005093,0.029101,490
320,427,0.000709,0.004048,490
320,428,0.003435,0.019627,490
320,428,0.003435,0.019627,490
321,429,0.000487,0.004613,1700
322,430,0.007329,0.041882,490
322,431,0.001311,0.007491,490
322,431,0.001311,0.007491,490
322,432,0.004299,0.024563,490
322,432,0.004299,0.024563,490
323,420,0.005857,0.033469,490
323,433,0.002544,0.014538,490
323,433,0.002544,0.014538,490
324,325,0.005646,0.032265,490
324,345,0.006496,0.037118,490
324,434,0.001314,0.007508,490
327,407,0.000539,0.005098,1700
327,408,0.001441,0.01364,1700
